title,country,release_year,duration,rating,genre,description
Dr. Seuss' The Cat in the Hat,United States,2003,82 min,,"Children & Family Movies, Comedies","While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes."""
Mater,Argentina,2017,80 min,,"Dramas, Independent Movies, International Movies",A single man in his 30s overwhelmed by his domineering mother meets a lesbian couple willing to go to extreme lengths to have a child.
De Film van Dylan Haegens,Netherlands,2018,81 min,,"Comedies, International Movies",A YouTuber becomes obsessed with figuring out how his copycat archnemesis manages to steal all of his ideas.
Lavell Crawford: Can a Brother Get Some Love?,United States,2011,81 min,10,Stand-Up Comedy,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs."
R.L. Stine's Mostly Ghostly,United States,2008,98 min,,"Children & Family Movies, Comedies","After discovering a pair of young ghosts, a nebbish 11-year-old agrees to help the sibling spirits solve the mystery surrounding their demise."
A Witches' Ball,Canada,2017,91 min,,Children & Family Movies,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast."
Mi Obra Maestra,"Argentina, Spain",2018,105 min,5,"Comedies, International Movies","A sly art dealer tries to revive the career of his longtime pal, a surly painter, with a risky plan that tests their morals and friendship."
The Unknown Girl,"Belgium, France",2016,106 min,4,"Dramas, International Movies",A guilt-ridden doctor in a Belgian town tries to uncover the identity of a woman who died after being turned away from her office.
Inhuman Kiss,Thailand,2019,122 min,,"Horror Movies, International Movies, Romantic Movies",A teenage girl is caught between the affections of two childhood friends while battling the bloodthirsty demon inside of her that manifests at night.
Deathgrip,United Kingdom,2017,53 min,,"International Movies, Sports Movies",Mountain bikers – including legend Brendan Fairclough – put their skills to the test and engage in daring feats set against vivid backdrops.
Bebe's Kids,United States,1992,73 min,5,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids."
Jerry Before Seinfeld,United States,2017,62 min,5,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy."
You're My Boss,Philippines,2015,117 min,,"Comedies, International Movies, Romantic Movies","Pong, a corporate assistant, poses as his company’s president in order to help Georgina, a marketing executive, close a crucial business deal."
The Wandering Earth,China,2019,125 min,,"International Movies, Sci-Fi & Fantasy",A looming collision with Jupiter threatens Earth as humans search for a new star. The planet's fate now lies in the hands of a few unexpected heroes.
Queen of the Desert,"United States, Morocco",2015,128 min,5,Dramas,"Driven beyond the bounds of convention, adventurer Gertrude Bell leaves turn-of-the-century Britain behind for the deserts of the Middle East."
Manhunt,"China, Hong Kong",2017,109 min,,"Action & Adventure, International Movies",A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.
Flying Guillotine 2,Hong Kong,1978,88 min,,"Action & Adventure, International Movies","The emperor's reign of terror expands. Heroic outlaw Ma Teng joins a squad of female rebels, whose leader is torn between family loyalties."
You Can Tutu,United Kingdom,2017,87 min,,Children & Family Movies,A gifted young ballet dancer struggles to find her footing in an uptight ballet school that brings her and her family to a brand-new neighborhood.
Jab Harry Met Sejal,India,2017,142 min,8,"Comedies, International Movies, Romantic Movies",A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.
Chelsea Peretti: One of the Greats,United States,2014,75 min,,Stand-Up Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special."
The Waterboy,United States,1998,90 min,10,"Comedies, Sports Movies",A water boy for a college football team has a rage that makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.
Grego Rossello: Disculpe las molestias,Argentina,2019,65 min,5,Stand-Up Comedy,"Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more."
Yes or No,Thailand,2010,111 min,9,"International Movies, LGBTQ Movies, Romantic Movies","Traditional girl Pie is initially uncomfortable with her tomboyish new roommate. But as time goes on, she finds herself increasingly attracted to her."
Act of Vengeance,"Turkey, United States",2010,112 min,,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
Galih dan Ratna,Indonesia,2017,111 min,,"Dramas, International Movies, Romantic Movies",Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.
The Tree of Blood,Spain,2018,136 min,5,"Dramas, Independent Movies, International Movies","As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession."
Kill Ratio,United States,2016,87 min,,Action & Adventure,"Posing as a telecom salesman at a business conference, a CIA agent fights to protect a fledgling Eastern European democracy from a military coup."
One Last Thing,United States,2018,92 min,6,Dramas,"After 25 years of searching, a lonely dentist finds his long-lost daughter but learns that she suffers from a rare medical condition."
Russell Peters: Almost Famous,United States,2016,73 min,4,Stand-Up Comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human."
Franco Escamilla: Bienvenido al mundo,Mexico,2019,54 min,6,Stand-Up Comedy,"Comedian Franco Escamilla shares stories about parenting his children when they get into trouble, with reflections on gender, friendship and romance."
Ghanchakkar,India,2013,129 min,,"Comedies, International Movies, Thrillers","Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more."
A Heavy Heart,Germany,2015,109 min,,"Dramas, Independent Movies, International Movies","Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder."
A Billion Colour Story,India,2016,104 min,,"Dramas, Independent Movies, International Movies",The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
Sat Sri Akal,India,2008,141 min,4,"Dramas, Faith & Spirituality, International Movies","Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes."
Rattlesnake,United States,2019,86 min,8,"Horror Movies, Independent Movies, Thrillers","After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown."
Rowdy Rathore,India,2012,137 min,,"Action & Adventure, Comedies, International Movies","A con man uncovers a deadly secret and must save his lady love, the little girl who insists she's his daughter and the small-town locals from the mob."
Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,97 min,,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Beiimaan Love,India,2016,115 min,,"Dramas, International Movies, Romantic Movies","After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
Rocky,United States,1976,120 min,,"Action & Adventure, Classic Movies, Dramas","Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt."
The Prison,South Korea,2017,125 min,,"Action & Adventure, Dramas, International Movies",A cop-turned-convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss – and joins in on their nightly heists.
Todd Glass: Stand-Up Special,United States,2012,46 min,10,Stand-Up Comedy,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark."
Gosford Park,"United States, United Kingdom, Italy",2001,137 min,4,"Comedies, Dramas, International Movies","In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered."
"Monty Python Live (Mostly): One Down, Five to Go",United Kingdom,2014,137 min,,Comedies,"Live from London in a sold-out final show, surviving members of the British comedy troupe reprise old roles and break out in irreverent song and dance."
Çarsi Pazar,Turkey,2015,97 min,10,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,83 min,9,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
The Music of Silence,Italy,2017,115 min,,"Dramas, International Movies, Music & Musicals","Based on the autobiography by tenor Andrea Bocelli, this musical biopic chronicles his life from his bumpy childhood to his meteoric rise to fame."
"Club de Cuervos Presents: I, Potro","Mexico, Argentina",2018,51 min,,Movies,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.
Jenny Slate: Stage Fright,United States,2019,67 min,,"Documentaries, Stand-Up Comedy","Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home."
Kath & Kimderella,Australia,2012,86 min,10,Comedies,"Chipper baby boomer Kath, diva daughter Kim and hapless pal Sharon visit Papilloma, Italy, where a royal romance and knockoff fashions await."
Consequences ,Turkey,2014,106 min,7,"Dramas, International Movies, Thrillers",Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.
House Arrest,India,2019,105 min,,"Comedies, Independent Movies, International Movies",A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.
Trolls Holiday Special,United States,2017,27 min,4,"Children & Family Movies, Comedies, Music & Musicals","When Queen Poppy realizes that Bridget and the Bergens don't have any holidays, she hatches a plan for Branch and the Snack Pack to help create one."
Winter's Bone,United States,2010,100 min,,"Dramas, Independent Movies","In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety."
Carlos Ballarta: El amor es de putos,Mexico,2016,67 min,7,Stand-Up Comedy,"Carlos Ballarta mocks daily life in Mexico, including public transit, the education system and the corn seller who betrays your confidence."
Article 15,India,2019,125 min,,"Dramas, International Movies, Thrillers",The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
"As Above, So Below",United States,2014,93 min,8,"Horror Movies, Thrillers",A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.
42 Grams,United States,2017,81 min,4,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery."
Saving Capitalism,United States,2017,73 min,5,Documentaries,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
Forbidden Games: The Justin Fashanu Story,United Kingdom,2017,81 min,,"Documentaries, International Movies, LGBTQ Movies","This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer."
For Here or to Go?,"United States, India",2015,105 min,5,"Comedies, Dramas, Independent Movies",A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
Hero,"Hong Kong, China",1997,89 min,,"Action & Adventure, International Movies","A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine."
Jeremy Scott: The People's Designer,United States,2015,109 min,7,Documentaries,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.
1st Summoning,United States,2018,94 min,,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
Flash of Genius,"Canada, United States",2008,119 min,,Dramas,A college professor goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers.
In the Shadow of the Moon,United States,2019,116 min,4,"Dramas, Sci-Fi & Fantasy, Thrillers",A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.
Arthur,United States,2011,110 min,,"Comedies, Romantic Movies",Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.
Pandigai,India,2017,125 min,9,"Action & Adventure, Dramas, International Movies","Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that."
Punjab 1984,"Canada, India",2014,158 min,8,"Dramas, International Movies","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist."
"The Goods: Live Hard, Sell Hard",United States,2009,89 min,8,Comedies,"Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs."
He Never Died,"United States, Canada",2015,97 min,8,"Comedies, Horror Movies",A reclusive immortal who needs human flesh but tries to stay clean finds himself cast back into society by a gang of thugs and his estranged daughter.
Target,Indonesia,2018,91 min,7,"Comedies, Horror Movies, International Movies","Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive."
Pareeth Pandaari,India,2017,109 min,,"Dramas, Independent Movies, International Movies","As the parents of three unmarried daughters, a humble cook and his wife contend with the challenges of matchmaking and social expectations."
Görümce,Turkey,2016,104 min,5,"Comedies, International Movies, Music & Musicals","When his jealous sister plots to wreck his engagement, a young man does everything he can to protect his betrothed from her devious schemes."
Just Another Love Story,Denmark,2007,104 min,,"Dramas, International Movies","When he causes a car accident that leaves a young woman with amnesia, a man finds himself telling incredible lies to make her and her family happy."
Hisss,"India, United States",2010,97 min,9,"Horror Movies, International Movies, Thrillers","In a plot to bait the snake-goddess Nagin for her immortality-granting essence, George States journeys to India and abducts her reptilian lover."
Naruto Shippuden: The Movie,Japan,2007,95 min,9,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
Deewana Main Deewana,India,2013,107 min,10,"Comedies, Dramas, International Movies",A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her.
Like Water for Chocolate,Mexico,1992,105 min,8,"Classic Movies, Dramas, International Movies","When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares."
Pedal the World,Germany,2015,85 min,8,"Documentaries, International Movies, Sports Movies","Over the course of one memorable and adventure-filled year, Felix Starck documents his 18,000-kilometer bicycle journey across 22 countries."
Clarence Clemons: Who Do I Think I Am?,United States,2019,88 min,8,"Documentaries, Music & Musicals",This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.
"Houston, We Have a Problem!","Slovenia, Croatia, Germany, Czech Republic, Qatar",2016,84 min,,"Comedies, Independent Movies, International Movies","Blending fact with myth, this conspiracy-minded docufiction argues that the U.S. purchased Yugoslavia's secret space program in the 1960s."
Geronimo Stilton,"Italy, Canada, France",2011,1 Season,,"Kids' TV, TV Comedies","With the help of brainy and adventurous sidekicks, New Mouse City's favorite journalist investigates mysteries that take him around the world,"
Awake,United States,2019,92 min,,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women."
Goon,"United States, Canada",2011,92 min,9,"Comedies, Sports Movies","When he's seen dispatching a rude opposing hockey player in the stands, Doug Glatt is hired by a rival team ... for his fighting skills."
Neruda,"Chile, Argentina, France, Spain, United States",2016,108 min,5,"Dramas, International Movies","When a Chilean policeman vows to find and capture leftist poet Pablo Neruda, a game of cat and mouse ensues that tests both their wills."
Brooklyn's Finest,United States,2009,133 min,,"Dramas, Thrillers","Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller."
White Fang,"France, Luxembourg, United States",2018,88 min,,"Children & Family Movies, Dramas",A loyal wolfdog's curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters.
Next Enti?,India,2018,117 min,9,"Comedies, Dramas, International Movies","Clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship, before suddenly crossing paths again."
Agyaat,India,2009,97 min,,"Horror Movies, International Movies",A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
Employee of the Month,United States,2006,108 min,6,"Comedies, Romantic Movies",Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.
"Michael Bolton's Big, Sexy Valentine's Day Special",United States,2017,54 min,10,"Comedies, Music & Musicals, Romantic Movies","After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love."
The Tigers of Scotland,United Kingdom,2017,58 min,,Documentaries,"This documentary highlights the endangered existence of the Scottish wildcats, and the conservation efforts required to prevent their extinction."
Cities of Last Things,"Taiwan, China, France, United States",2018,106 min,8,"Dramas, Independent Movies, International Movies","In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago."
Seven Sundays,Philippines,2017,128 min,,"Comedies, Dramas, International Movies","A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late."
Bilu Rakkhosh,India,2017,127 min,,"Dramas, International Movies","Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check."
Kajraare,India,2010,113 min,10,"Dramas, International Movies, Music & Musicals","A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past."
Toc Toc,Spain,2017,96 min,7,"Comedies, International Movies","A group of patients with OCD wait for their flight-delayed doctor to arrive for their appointments, forcing them to endure each other's oddball quirks."
Indiana Jones and the Temple of Doom,United States,1984,119 min,,"Action & Adventure, Children & Family Movies, Classic Movies","Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone."
Raging Bull,United States,1980,129 min,,"Classic Movies, Dramas, Sports Movies","This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons."
You Changed My Life,Philippines,2009,116 min,,"Comedies, Dramas, International Movies","Laida and Miggy think they've found perfect happiness with each other, until their burgeoning careers force them into a long-distance relationship."
#Roxy,Canada,2018,105 min,,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
Attacking the Devil: Harold Evans and the Last Nazi War Crime,United Kingdom,2014,102 min,,"Documentaries, International Movies",Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.
Mariah Carey's Merriest Christmas,United States,2015,38 min,,"Children & Family Movies, Music & Musicals","Pop music superstar Mariah Carey hosts this all-star holiday celebration with special guests and a celebrity reading of ""The Night Before Christmas."""
Shelby American,United States,2019,119 min,9,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur."
Aurora,Philippines,2018,98 min,,"Horror Movies, International Movies",A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies – until the dead come seeking shelter themselves.
The Chosen One,Brazil,2019,1 Season,10,"International TV Shows, TV Dramas, TV Mysteries","Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult."
Something Huge,Spain,2017,87 min,7,"Comedies, Independent Movies, International Movies","A director and a comedian want to shoot the ""comedy of the future"" and make cinema history, but soon run out of resources and run into mission creep."
Cristela Alonzo: Lower Classy,United States,2017,67 min,,Stand-Up Comedy,"The irrepressible Alonzo skewers Latino stereotypes, pricey luxuries and her mother's tough-love parenting in a night of sly and infectious comedy."
Battle,"Norway, Denmark, Netherlands, Sweden",2018,98 min,8,"Dramas, International Movies, Romantic Movies","After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael."
Ginger & Rosa,"United Kingdom, Denmark, Canada, Croatia",2012,90 min,,"Dramas, Independent Movies","With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart."
Superlopez,Spain,2018,108 min,,"Action & Adventure, Comedies, International Movies","In this adaptation of the comic strip, Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón."
1 Mile to You,United States,2017,105 min,,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
Under the Shadow,"United Kingdom, Jordan, Qatar, Iran",2016,84 min,5,"Horror Movies, International Movies, Thrillers","During the Iran-Iraq conflict, a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work."
Matichya Chuli,India,2006,132 min,,"Comedies, Dramas, International Movies","A jealous, possessive mother thinks she is competing with her new daughter-in-law for the affections of her overindulged son."
Nova: Ultimate Mars Challenge,United States,2012,53 min,,Movies,"With access to the scientists and engineers responsible for the Curiosity rover's on-the-ground experiments, NOVA captures its landing on Mars."
How to Be a Player,United States,1997,94 min,,Comedies,"Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways."
The Skin of the Wolf,Spain,2018,110 min,5,"Dramas, Independent Movies, International Movies",An animal trapper living in an abandoned mountain town in northern Spain seeks to resolve his loneliness by securing a wife.
Be Somebody,United States,2016,88 min,6,"Comedies, Dramas, Romantic Movies","To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily."
The Game,United States,1997,129 min,9,Thrillers,"Nicholas receives an unusual birthday present from his brother, Conrad – a gift certificate to play a unique kind of game formulated by ""CRS."""
Transcendence,"United Kingdom, China, United States",2014,119 min,,"Sci-Fi & Fantasy, Thrillers",Two computer scientists work to achieve technological singularity to create a world where computers can transcend the abilities of the human brain.
Locke,"United Kingdom, United States",2013,85 min,5,"Dramas, Independent Movies","Over the space of 90 minutes, Ivan Locke's life spins out of control via a series of phone calls made while he drives down the highway to London."
Hayat Öpücügü,Turkey,2015,98 min,,"Comedies, Dramas, International Movies","High-strung Metin finally stops seeing doom and gloom around every corner when he meets vivacious Hayat, but she has her own soul-searching to do."
It's Now or Never,Spain,2015,91 min,,"Comedies, International Movies, Romantic Movies","When Eva and Alex decide to wed in England, where they met three years earlier, obstacles including a labor strike and a volcano keep them apart."
Bobbi Jene,"Denmark, Sweden, Israel, United States",2017,99 min,4,Documentaries,This candid profile follows dancer Bobbi Jene Smith as she leaves the company of Israeli choreographer Ohad Naharin to forge her own artistic path.
Moonwalkers,"France, Belgium",2015,96 min,,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
Do Dooni Chaar,India,2010,106 min,8,"Comedies, International Movies","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
A Little Chaos,United Kingdom,2014,113 min,,"Dramas, Independent Movies, International Movies","A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications."
Revenge of the Green Dragons,"Hong Kong, United States",2014,95 min,10,"Action & Adventure, Dramas, Independent Movies","In gritty 1980s New York, two Chinese immigrant boys rise through the ranks of the infamous Green Dragons gang, where they're trained to kill."
Me and the Alien,Mexico,2016,83 min,7,"Comedies, Dramas, International Movies","Hoping to pump up their sound, a punk band hires Pepe, a keyboardist with Down Syndrome, but tensions erupt when he steals the show with his talent."
Malena Pichot: Estupidez compleja,Argentina,2018,51 min,,Stand-Up Comedy,"An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner."
Nowhere Man,Taiwan,2019,1 Season,5,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
Miss Hokusai,Japan,2015,90 min,9,Anime Features,"Herself a talented artist, O-Ei works with her father, Tetsuzo, later known as Hokusai, on the woodblock prints that would make Edo famous worldwide."
Kacche Dhaagey,India,2016,120 min,9,"Dramas, International Movies, Romantic Movies","While visiting India for her cousin's wedding, a Canadian girl develops strong feelings for a boy from a lower caste."
Coco y Raulito: Carrusel de ternura,Mexico,2018,57 min,,Stand-Up Comedy,"A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs."
Running Shaadi,India,2017,115 min,,"Comedies, International Movies, Romantic Movies","A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot."
Kidnapping Mr. Heineken,"Netherlands, Belgium, United Kingdom, United States",2015,95 min,10,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
XXx,United States,2002,124 min,6,"Action & Adventure, Sports Movies",A notorious underground rush-seeker deemed untouchable by the law is coerced into cooperating with the government to infiltrate a Russian crime ring.
Big Kill,United States,2018,126 min,6,Action & Adventure,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
The Mayor,South Korea,2017,130 min,7,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
Tig,United States,2015,92 min,,"Documentaries, Stand-Up Comedy",Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
Shorts,"United States, United Arab Emirates",2009,89 min,,"Children & Family Movies, Comedies",Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.
Big Miracle,"United States, United Kingdom",2012,107 min,,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
Locked Up,United States,2017,86 min,7,"Action & Adventure, Dramas, Independent Movies","After getting in a fight at her school in Southeast Asia, an American teen is sent to a correctional facility, where she faces hard labor and abuse."
Maya Memsaab,"France, United Kingdom, India",1993,122 min,8,"Dramas, International Movies, Music & Musicals","A beautiful, wealthy woman’s insatiable appetite for romance leads to tragedy and a police investigation."
